helix_key,label,package_name,component,asset
phone,Téléphone,com.samsung.android.dialer,com.samsung.android.dialer.DialtactsActivity,helix_phone
messages,Messages,com.samsung.android.messaging,com.android.mms.ui.ConversationComposer,helix_messages
messages,Messages,com.samsung.android.messaging,com.samsung.android.messaging.ui.ConversationListActivity,helix_messages
messages,Messages,com.samsung.android.messaging,com.samsung.android.messaging.ui.ConversationList,helix_messages
contacts,Contacts,com.samsung.android.contacts,com.android.contacts.activities.PeopleActivity,helix_contacts
contacts,Contacts,com.samsung.android.contacts,com.samsung.android.contacts.contactslist.PeopleActivity,helix_contacts
calendar,Calendrier,com.samsung.android.calendar,com.android.calendar.AllInOneActivity,helix_calendar
calendar,Calendrier,com.samsung.android.calendar,com.samsung.android.app.calendar.activity.MainActivity,helix_calendar
camera,Appareil photo,com.sec.android.app.camera,com.sec.android.app.camera.Camera,helix_camera
gallery,Galerie,com.sec.android.gallery3d,com.sec.android.gallery3d.app.GalleryOpaqueActivity,helix_gallery
gallery,Galerie,com.sec.android.gallery3d,com.samsung.android.gallery.app.activity.GalleryActivity,helix_gallery
files,Mes fichiers,com.sec.android.app.myfiles,com.sec.android.app.myfiles.external.ui.MainActivity,helix_files
files,Mes fichiers,com.sec.android.app.myfiles,com.sec.android.app.myfiles.external.ui.LaunchActivity,helix_files
files,Mes fichiers,com.sec.android.app.myfiles,com.sec.android.app.myfiles.common.MainActivity,helix_files
settings,Paramètres,com.android.settings,com.android.settings.Settings,helix_settings
chrome,Chrome,com.android.chrome,com.google.android.apps.chrome.Main,helix_chrome
chrome,Chrome,com.android.chrome,com.android.chrome.Main,helix_chrome
google,Google,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox.SearchActivity,helix_google
google,Google,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox.GoogleSearch,helix_google
play_store,Play Store,com.android.vending,com.android.vending.AssetBrowserActivity,helix_play_store
play_store,Play Store,com.android.vending,com.google.android.finsky.activities.PlayLauncherActivity,helix_play_store
youtube,YouTube,com.google.android.youtube,com.google.android.youtube.app.honeycomb.Shell$HomeActivity,helix_youtube
youtube,YouTube,com.google.android.youtube,com.google.android.youtube.app.honeycomb.Shell,helix_youtube
spotify,Spotify,com.spotify.music,com.spotify.music.MainActivity,helix_spotify
spotify,Spotify,com.spotify.music,com.spotify.music.main.MainScreenActivity,helix_spotify
tiktok,TikTok,com.zhiliaoapp.musically,com.zhiliaoapp.musically.MainActivity,helix_tiktok
tiktok,TikTok,com.zhiliaoapp.musically,com.ss.android.ugc.aweme.splash.SplashActivity,helix_tiktok
tiktok,TikTok,com.zhiliaoapp.musically,com.ss.android.ugc.trill.splash.I18nSplashActivity,helix_tiktok
tiktok,TikTok,com.zhiliaoapp.musically,com.zhiliaoapp.musically.activity.SplashActivity,helix_tiktok
chatgpt,ChatGPT,com.openai.chatgpt,com.openai.chatgpt.MainActivity,helix_chatgpt
gemini,Gemini,com.google.android.apps.bard,com.google.android.apps.bard.shellapp.BardEntryPointActivity,helix_gemini
outlook,Outlook,com.microsoft.office.outlook,com.microsoft.office.outlook.MainActivity,helix_outlook
outlook,Outlook,com.microsoft.office.outlook,com.microsoft.office.outlook.ui.miit.MiitLauncherActivity,helix_outlook
gmail,Gmail,com.google.android.gm,com.google.android.gm.ConversationListActivityGmail,helix_gmail
drive,Drive,com.google.android.apps.docs,com.google.android.apps.docs.app.NewMainProxyActivity,helix_drive
drive,Drive,com.google.android.apps.docs,com.google.android.apps.docs.app.HomeScreenActivity,helix_drive
drive,Drive,com.google.android.apps.docs,com.google.android.apps.docs.app.MainProxyActivity,helix_drive
photos,Photos,com.google.android.apps.photos,com.google.android.apps.photos.home.HomeActivity,helix_photos
maps,Maps,com.google.android.apps.maps,com.google.android.maps.MapsActivity,helix_maps
google_tv,Google TV,com.google.android.videos,com.google.android.videos.activity.HomeActivity,helix_google_tv
google_tv,Google TV,com.google.android.videos,com.google.android.videos.activity.LauncherActivity,helix_google_tv
google_tv,Google TV,com.google.android.videos,com.google.android.youtube.videos.EntryPoint,helix_google_tv
shazam,Shazam,com.shazam.android,com.shazam.android.activities.SplashActivity,helix_shazam
shazam,Shazam,com.shazam.android,com.shazam.android.activities.MainActivity,helix_shazam
youtube_music,YouTube Music,com.google.android.apps.youtube.music,com.google.android.apps.youtube.music.activities.MusicActivity,helix_youtube_music
samsung_notes,Samsung Notes,com.samsung.android.app.notes,com.samsung.android.app.notes.memolist.MemoListActivity,helix_samsung_notes
clock,Horloge,com.sec.android.app.clockpackage,com.sec.android.app.clockpackage.ClockPackage,helix_clock
clock,Horloge,com.sec.android.app.clockpackage,com.sec.android.app.clockpackage.common.activity.ClockPackage,helix_clock
calculator,Calculatrice,com.sec.android.app.popupcalculator,com.sec.android.app.popupcalculator.Calculator,helix_calculator
bixby,Bixby,com.samsung.android.bixby.agent,com.samsung.android.bixby.assistanthome.AssistantHomeLauncherActivity,helix_bixby
bixby,Bixby,com.samsung.android.bixby.agent,com.samsung.android.bixby.assistanthome.AssistantHomeMainActivity,helix_bixby
samsung_health,Samsung Health,com.sec.android.app.shealth,com.samsung.android.app.shealth.home.HomeMainActivity,helix_samsung_health
samsung_health,Samsung Health,com.sec.android.app.shealth,com.samsung.android.app.shealth.home.HomeDashboardActivity,helix_samsung_health
galaxy_store,Galaxy Store,com.sec.android.app.samsungapps,com.sec.android.app.samsungapps.SamsungAppsMainActivity,helix_galaxy_store
galaxy_store,Galaxy Store,com.sec.android.app.samsungapps,com.sec.android.app.samsungapps.Main,helix_galaxy_store
galaxy_store,Galaxy Store,com.sec.android.app.samsungapps,com.sec.android.app.samsungapps.SKSamsungMainActivity,helix_galaxy_store
good_lock,Good Lock,com.samsung.android.goodlock,com.samsung.android.goodlock.MainActivity,helix_good_lock
good_lock,Good Lock,com.samsung.android.goodlock,com.samsung.android.goodlock.presentation.view.LaunchActivity,helix_good_lock
good_lock,Good Lock,com.samsung.android.goodlock,com.samsung.android.goodlock.presentation.view.PluginListActivity,helix_good_lock
samsung_members,Samsung Members,com.samsung.android.voc,com.samsung.android.voc.app.LauncherActivity,helix_samsung_members
samsung_members,Samsung Members,com.samsung.android.voc,com.samsung.android.voc.MainActivity,helix_samsung_members
samsung_members,Samsung Members,com.samsung.android.voc,com.samsung.android.voc.LauncherActivity,helix_samsung_members
meet,Meet,com.google.android.apps.tachyon,com.google.android.apps.tachyon.MainActivitySecondLauncher,helix_meet
meet,Meet,com.google.android.apps.tachyon,com.google.android.apps.tachyon.MainActivity,helix_meet
vlc,VLC,org.videolan.vlc,org.videolan.vlc.StartActivity,helix_vlc
vlc,VLC,org.videolan.vlc,org.videolan.vlc.gui.MainActivity,helix_vlc
linkedin,LinkedIn,com.linkedin.android,com.linkedin.android.authenticator.LaunchActivity,helix_linkedin
linkedin,LinkedIn,com.linkedin.android,com.linkedin.android.authenticator.LaunchActivityDefault,helix_linkedin
linkedin,LinkedIn,com.linkedin.android,com.linkedin.android.MainActivity,helix_linkedin
alexa,Amazon Alexa,com.amazon.dee.app,com.amazon.dee.app.Launcher,helix_alexa
alexa,Amazon Alexa,com.amazon.dee.app,com.amazon.dee.webapp.activity.AlexaWebAppActivity,helix_alexa
leboncoin,leboncoin,fr.leboncoin,fr.leboncoin.feature.splashscreen.ui.activities.SplashScreenActivity,helix_leboncoin
leboncoin,leboncoin,fr.leboncoin,fr.leboncoin.ui.activities.SplashScreenActivity,helix_leboncoin
leboncoin,leboncoin,fr.leboncoin,fr.leboncoin.splashscreen.ui.activities.SplashScreenActivity,helix_leboncoin
leboncoin,leboncoin,fr.leboncoin,fr.leboncoin.features.splashscreen.ui.activities.SplashScreenActivity,helix_leboncoin
icon_pack_studio,Icon Pack Studio,ginlemon.iconpackstudio,ginlemon.iconpackstudio.editor.homeActivity.HomeActivity,helix_icon_pack_studio
